"ParkName","Region","State","Year","RecreationVisits"
"Congaree NP","Southeast","SC","2016","143843"
"Crater Lake NP","Pacific West","OR","2016","756344"
"Cuyahoga Valley NP","Midwest","OH","2016","2423390"
"Death Valley NP","Pacific West","CA","2016","1296283"
"Denali NP & PRES","Alaska","AK","2016","587412"
"Dry Tortugas NP","Southeast","FL","2016","73661"
"Everglades NP","Southeast","FL","2016","930907"
"Gates of the Arctic NP & PRES","Alaska","AK","2016","10047"
"Gateway Arch NP","Midwest","MO","2016","1271855"
"Glacier Bay NP & PRES","Alaska","AK","2016","520171"
"Glacier NP","Intermountain","MT","2016","2946681"
"Grand Canyon NP","Intermountain","AZ","2016","5969811"
"Grand Teton NP","Intermountain","WY","2016","3270076"
"Great Basin NP","Pacific West","NV","2016","144846"
"Great Sand Dunes NP & PRES","Intermountain","CO","2016","388308"
"Great Smoky Mountains NP","Southeast","TN","2016","11312786"
"Guadalupe Mountains NP","Intermountain","TX","2016","181839"
"Haleakala NP","Pacific West","HI","2016","1263558"
"Hawaii Volcanoes NP","Pacific West","HI","2016","1887580"
"Hot Springs NP","Midwest","AR","2016","1544300"
"Indiana Dunes NP","Midwest","IN","2016","1698223"
"Isle Royale NP","Midwest","MI","2016","24966"
"Joshua Tree NP","Pacific West","CA","2016","2505286"
"Katmai NP & PRES","Alaska","AK","2016","37818"
"Kenai Fjords NP","Alaska","AK","2016","346534"
"Kings Canyon NP","Pacific West","CA","2016","607479"
"Kobuk Valley NP","Alaska","AK","2016","15500"
"Lake Clark NP & PRES","Alaska","AK","2016","21102"
"Lassen Volcanic NP","Pacific West","CA","2016","536068"
"Mammoth Cave NP","Southeast","KY","2016","586514"
"Mesa Verde NP","Intermountain","CO","2016","583527"
"Mount Rainier NP","Pacific West","WA","2016","1356913"
"National Park of American Samoa","Pacific West","AS","2016","28892"
"New River Gorge NP & PRES","Northeast","WV","2016","1197931"
"North Cascades NP","Pacific West","WA","2016","28646"
"Olympic NP","Pacific West","WA","2016","3390221"
"Petrified Forest NP","Intermountain","AZ","2016","643274"
"Pinnacles NP","Pacific West","CA","2016","215555"
"Redwood NP","Pacific West","CA","2016","536297"
"Rocky Mountain NP","Intermountain","CO","2016","4517585"
"Saguaro NP","Intermountain","AZ","2016","820426"
"Sequoia NP","Pacific West","CA","2016","1254688"
"Shenandoah NP","Northeast","VA","2016","1437341"
"Theodore Roosevelt NP","Midwest","ND","2016","753880"
"Virgin Islands NP","Southeast","VI","2016","411343"
"Voyageurs NP","Midwest","MN","2016","241912"
"White Sands NP","Intermountain","NM","2016","555793"
"Wind Cave NP","Midwest","SD","2016","617377"
"Wrangell-St. Elias NP & PRES","Alaska","AK","2016","79047"
"Yellowstone NP","Intermountain","WY","2016","4257177"
"Yosemite NP","Pacific West","CA","2016","5028868"
"Zion NP","Intermountain","UT","2016","4295127"
"Acadia NP","Northeast","ME","2015","2811184"
"Arches NP","Intermountain","UT","2015","1399247"
"Badlands NP","Midwest","SD","2015","989354"
"Big Bend NP","Intermountain","TX","2015","381747"
"Biscayne NP","Southeast","FL","2015","508164"
"Black Canyon of the Gunnison NP","Intermountain","CO","2015","209166"
"Bryce Canyon NP","Intermountain","UT","2015","1745804"
"Canyonlands NP","Intermountain","UT","2015","634607"
"Capitol Reef NP","Intermountain","UT","2015","941029"
"Carlsbad Caverns NP","Intermountain","NM","2015","445720"
"Channel Islands NP","Pacific West","CA","2015","324816"
"Congaree NP","Southeast","SC","2015","87513"
"Crater Lake NP","Pacific West","OR","2015","614712"
"Cuyahoga Valley NP","Midwest","OH","2015","2284612"
"Death Valley NP","Pacific West","CA","2015","1154843"
"Denali NP & PRES","Alaska","AK","2015","560757"
"Dry Tortugas NP","Southeast","FL","2015","70862"
"Everglades NP","Southeast","FL","2015","1077427"
"Gates of the Arctic NP & PRES","Alaska","AK","2015","10745"
"Gateway Arch NP","Midwest","MO","2015","1698656"
"Glacier Bay NP & PRES","Alaska","AK","2015","551353"
"Glacier NP","Intermountain","MT","2015","2366056"
"Grand Canyon NP","Intermountain","AZ","2015","5520736"
"Grand Teton NP","Intermountain","WY","2015","3149921"
"Great Basin NP","Pacific West","NV","2015","116123"
"Great Sand Dunes NP & PRES","Intermountain","CO","2015","299513"
"Great Smoky Mountains NP","Southeast","TN","2015","10712674"
"Guadalupe Mountains NP","Intermountain","TX","2015","169535"
"Haleakala NP","Pacific West","HI","2015","1216772"
"Hawaii Volcanoes NP","Pacific West","HI","2015","1832660"
"Hot Springs NP","Midwest","AR","2015","1418162"
"Indiana Dunes NP","Midwest","IN","2015","1640195"
"Isle Royale NP","Midwest","MI","2015","18684"
"Joshua Tree NP","Pacific West","CA","2015","2025756"
"Katmai NP & PRES","Alaska","AK","2015","37818"
"Kenai Fjords NP","Alaska","AK","2015","296697"
"Kings Canyon NP","Pacific West","CA","2015","468106"
"Kobuk Valley NP","Alaska","AK","2015","0"
"Lake Clark NP & PRES","Alaska","AK","2015","17818"
"Lassen Volcanic NP","Pacific West","CA","2015","468092"
"Mammoth Cave NP","Southeast","KY","2015","566895"
"Mesa Verde NP","Intermountain","CO","2015","547325"
"Mount Rainier NP","Pacific West","WA","2015","1237231"
"National Park of American Samoa","Pacific West","AS","2015","13892"
"New River Gorge NP & PRES","Northeast","WV","2015","1178753"
"North Cascades NP","Pacific West","WA","2015","20677"
"Olympic NP","Pacific West","WA","2015","3263761"
"Petrified Forest NP","Intermountain","AZ","2015","793225"
"Pinnacles NP","Pacific West","CA","2015","206533"
"Redwood NP","Pacific West","CA","2015","527143"
"Rocky Mountain NP","Intermountain","CO","2015","4155916"
"Saguaro NP","Intermountain","AZ","2015","753446"
"Sequoia NP","Pacific West","CA","2015","1097464"
"Shenandoah NP","Northeast","VA","2015","1321873"
"Theodore Roosevelt NP","Midwest","ND","2015","580033"
"Virgin Islands NP","Southeast","VI","2015","438372"
"Voyageurs NP","Midwest","MN","2015","238313"
"White Sands NP","Intermountain","NM","2015","497506"
"Wind Cave NP","Midwest","SD","2015","612198"
"Wrangell-St. Elias NP & PRES","Alaska","AK","2015","80366"
"Yellowstone NP","Intermountain","WY","2015","4097710"
"Yosemite NP","Pacific West","CA","2015","4150217"
"Zion NP","Intermountain","UT","2015","3648846"
"Acadia NP","Northeast","ME","2014","2563129"
"Arches NP","Intermountain","UT","2014","1284767"
"Badlands NP","Midwest","SD","2014","868094"
"Big Bend NP","Intermountain","TX","2014","314102"
"Biscayne NP","Southeast","FL","2014","525745"
"Black Canyon of the Gunnison NP","Intermountain","CO","2014","183045"
"Bryce Canyon NP","Intermountain","UT","2014","1435741"
"Canyonlands NP","Intermountain","UT","2014","542431"
"Capitol Reef NP","Intermountain","UT","2014","786514"
"Carlsbad Caverns NP","Intermountain","NM","2014","397309"
"Channel Islands NP","Pacific West","CA","2014","342161"
"Congaree NP","Southeast","SC","2014","120122"
"Crater Lake NP","Pacific West","OR","2014","535508"
"Cuyahoga Valley NP","Midwest","OH","2014","2189849"
"Death Valley NP","Pacific West","CA","2014","1101312"
"Denali NP & PRES","Alaska","AK","2014","531315"
"Dry Tortugas NP","Southeast","FL","2014","64865"
"Everglades NP","Southeast","FL","2014","1110901"
"Gates of the Arctic NP & PRES","Alaska","AK","2014","12669"
"Gateway Arch NP","Midwest","MO","2014","1817091"
"Glacier Bay NP & PRES","Alaska","AK","2014","500727"
"Glacier NP","Intermountain","MT","2014","2338528"
"Grand Canyon NP","Intermountain","AZ","2014","4756771"
"Grand Teton NP","Intermountain","WY","2014","2791392"
"Great Basin NP","Pacific West","NV","2014","107526"
"Great Sand Dunes NP & PRES","Intermountain","CO","2014","271774"
"Great Smoky Mountains NP","Southeast","TN","2014","10099276"
"Guadalupe Mountains NP","Intermountain","TX","2014","166868"
"Haleakala NP","Pacific West","HI","2014","1142040"
"Hawaii Volcanoes NP","Pacific West","HI","2014","1693005"
"Hot Springs NP","Midwest","AR","2014","1424484"
"Indiana Dunes NP","Midwest","IN","2014","1553372"
"Isle Royale NP","Midwest","MI","2014","14560"
"Joshua Tree NP","Pacific West","CA","2014","1589904"
"Katmai NP & PRES","Alaska","AK","2014","30896"
"Kenai Fjords NP","Alaska","AK","2014","270666"
"Kings Canyon NP","Pacific West","CA","2014","502268"
"Kobuk Valley NP","Alaska","AK","2014","0"
"Lake Clark NP & PRES","Alaska","AK","2014","16100"
"Lassen Volcanic NP","Pacific West","CA","2014","432977"
"Mammoth Cave NP","Southeast","KY","2014","522628"
"Mesa Verde NP","Intermountain","CO","2014","501563"
"Mount Rainier NP","Pacific West","WA","2014","1264259"
"National Park of American Samoa","Pacific West","AS","2014","13953"
"New River Gorge NP & PRES","Northeast","WV","2014","1124799"
"North Cascades NP","Pacific West","WA","2014","23865"
"Olympic NP","Pacific West","WA","2014","3243872"
"Petrified Forest NP","Intermountain","AZ","2014","836799"
"Pinnacles NP","Pacific West","CA","2014","196635"
"Redwood NP","Pacific West","CA","2014","429166"
"Rocky Mountain NP","Intermountain","CO","2014","3434751"
"Saguaro NP","Intermountain","AZ","2014","673572"
"Sequoia NP","Pacific West","CA","2014","1039137"
"Shenandoah NP","Northeast","VA","2014","1255321"
"Theodore Roosevelt NP","Midwest","ND","2014","559580"
"Virgin Islands NP","Southeast","VI","2014","426930"
"Voyageurs NP","Midwest","MN","2014","239160"
"White Sands NP","Intermountain","NM","2014","503660"
"Wind Cave NP","Midwest","SD","2014","547022"
"Wrangell-St. Elias NP & PRES","Alaska","AK","2014","74722"
"Yellowstone NP","Intermountain","WY","2014","3513484"
"Yosemite NP","Pacific West","CA","2014","3882642"
"Zion NP","Intermountain","UT","2014","3189696"
"Acadia NP","Northeast","ME","2013","2254922"
"Arches NP","Intermountain","UT","2013","1082866"
"Badlands NP","Midwest","SD","2013","892372"
"Big Bend NP","Intermountain","TX","2013","316953"
"Biscayne NP","Southeast","FL","2013","486848"
"Black Canyon of the Gunnison NP","Intermountain","CO","2013","175852"
"Bryce Canyon NP","Intermountain","UT","2013","1311875"
"Canyonlands NP","Intermountain","UT","2013","462242"
"Capitol Reef NP","Intermountain","UT","2013","663670"
"Carlsbad Caverns NP","Intermountain","NM","2013","388566"
"Channel Islands NP","Pacific West","CA","2013","212029"
"Congaree NP","Southeast","SC","2013","120340"
"Crater Lake NP","Pacific West","OR","2013","523027"
"Cuyahoga Valley NP","Midwest","OH","2013","2103010"
"Death Valley NP","Pacific West","CA","2013","951972"
"Denali NP & PRES","Alaska","AK","2013","530922"
"Dry Tortugas NP","Southeast","FL","2013","58401"
"Everglades NP","Southeast","FL","2013","1047116"
"Gates of the Arctic NP & PRES","Alaska","AK","2013","11012"
"Gateway Arch NP","Midwest","MO","2013","2377258"
"Glacier Bay NP & PRES","Alaska","AK","2013","500590"
"Glacier NP","Intermountain","MT","2013","2190374"
"Grand Canyon NP","Intermountain","AZ","2013","4564840"
"Grand Teton NP","Intermountain","WY","2013","2688794"
"Great Basin NP","Pacific West","NV","2013","92893"
"Great Sand Dunes NP & PRES","Intermountain","CO","2013","242841"
"Great Smoky Mountains NP","Southeast","TN","2013","9354695"
"Guadalupe Mountains NP","Intermountain","TX","2013","145670"
"Haleakala NP","Pacific West","HI","2013","785300"
"Hawaii Volcanoes NP","Pacific West","HI","2013","1583209"
"Hot Springs NP","Midwest","AR","2013","1325719"
"Indiana Dunes NP","Midwest","IN","2013","1681695"
"Isle Royale NP","Midwest","MI","2013","16274"
"Joshua Tree NP","Pacific West","CA","2013","1383340"
"Katmai NP & PRES","Alaska","AK","2013","28966"
"Kenai Fjords NP","Alaska","AK","2013","283502"
"Kings Canyon NP","Pacific West","CA","2013","567544"
"Kobuk Valley NP","Alaska","AK","2013","16875"
"Lake Clark NP & PRES","Alaska","AK","2013","13000"
"Lassen Volcanic NP","Pacific West","CA","2013","427409"
"Mammoth Cave NP","Southeast","KY","2013","494541"
"Mesa Verde NP","Intermountain","CO","2013","460237"
"Mount Rainier NP","Pacific West","WA","2013","1148552"
"National Park of American Samoa","Pacific West","AS","2013","17919"
"New River Gorge NP & PRES","Northeast","WV","2013","1071823"
"North Cascades NP","Pacific West","WA","2013","21623"
"Olympic NP","Pacific West","WA","2013","3085340"
"Petrified Forest NP","Intermountain","AZ","2013","644648"
"Pinnacles NP","Pacific West","CA","2013","237677"
"Redwood NP","Pacific West","CA","2013","393364"
"Rocky Mountain NP","Intermountain","CO","2013","2991141"
"Saguaro NP","Intermountain","AZ","2013","678261"
"Sequoia NP","Pacific West","CA","2013","909274"
"Shenandoah NP","Northeast","VA","2013","1136505"
"Theodore Roosevelt NP","Midwest","ND","2013","545090"
"Virgin Islands NP","Southeast","VI","2013","438601"
"Voyageurs NP","Midwest","MN","2013","233390"
"White Sands NP","Intermountain","NM","2013","490544"
"Wind Cave NP","Midwest","SD","2013","516142"
"Wrangell-St. Elias NP & PRES","Alaska","AK","2013","69984"
"Yellowstone NP","Intermountain","WY","2013","3188030"
"Yosemite NP","Pacific West","CA","2013","3691191"
"Zion NP","Intermountain","UT","2013","2807387"
"Acadia NP","Northeast","ME","2012","2431052"
"Arches NP","Intermountain","UT","2012","1070577"
"Badlands NP","Midwest","SD","2012","883406"
"Big Bend NP","Intermountain","TX","2012","292055"
"Biscayne NP","Southeast","FL","2012","495613"
"Black Canyon of the Gunnison NP","Intermountain","CO","2012","192570"
"Bryce Canyon NP","Intermountain","UT","2012","1385352"
"Canyonlands NP","Intermountain","UT","2012","452952"
"Capitol Reef NP","Intermountain","UT","2012","673345"
"Carlsbad Caverns NP","Intermountain","NM","2012","381058"
"Channel Islands NP","Pacific West","CA","2012","249594"
"Congaree NP","Southeast","SC","2012","109685"
"Crater Lake NP","Pacific West","OR","2012","447251"
"Cuyahoga Valley NP","Midwest","OH","2012","2299722"
"Death Valley NP","Pacific West","CA","2012","984568"
"Denali NP & PRES","Alaska","AK","2012","388433"
"Dry Tortugas NP","Southeast","FL","2012","60550"
"Everglades NP","Southeast","FL","2012","1141906"
"Gates of the Arctic NP & PRES","Alaska","AK","2012","10899"
"Gateway Arch NP","Midwest","MO","2012","2496726"
"Glacier Bay NP & PRES","Alaska","AK","2012","454337"
"Glacier NP","Intermountain","MT","2012","2162035"
"Grand Canyon NP","Intermountain","AZ","2012","4421352"
"Grand Teton NP","Intermountain","WY","2012","2705256"
"Great Basin NP","Pacific West","NV","2012","94850"
"Great Sand Dunes NP & PRES","Intermountain","CO","2012","254674"
"Great Smoky Mountains NP","Southeast","TN","2012","9685829"
"Guadalupe Mountains NP","Intermountain","TX","2012","159360"
"Haleakala NP","Pacific West","HI","2012","1094668"
"Hawaii Volcanoes NP","Pacific West","HI","2012","1483928"
"Hot Springs NP","Midwest","AR","2012","1302505"
"Indiana Dunes NP","Midwest","IN","2012","1889381"
"Isle Royale NP","Midwest","MI","2012","16663"
"Joshua Tree NP","Pacific West","CA","2012","1396117"
"Katmai NP & PRES","Alaska","AK","2012","39818"
"Kenai Fjords NP","Alaska","AK","2012","281279"
"Kings Canyon NP","Pacific West","CA","2012","591033"
"Kobuk Valley NP","Alaska","AK","2012","29550"
"Lake Clark NP & PRES","Alaska","AK","2012","11639"
"Lassen Volcanic NP","Pacific West","CA","2012","407653"
"Mammoth Cave NP","Southeast","KY","2012","508054"
"Mesa Verde NP","Intermountain","CO","2012","488860"
"Mount Rainier NP","Pacific West","WA","2012","1049178"
"National Park of American Samoa","Pacific West","AS","2012","10440"
"New River Gorge NP & PRES","Northeast","WV","2012","1128195"
"North Cascades NP","Pacific West","WA","2012","26935"
"Olympic NP","Pacific West","WA","2012","2824908"
"Petrified Forest NP","Intermountain","AZ","2012","664857"
"Pinnacles NP","Pacific West","CA","2012","224476"
"Redwood NP","Pacific West","CA","2012","352517"
"Rocky Mountain NP","Intermountain","CO","2012","3229617"
"Saguaro NP","Intermountain","AZ","2012","634286"
"Sequoia NP","Pacific West","CA","2012","1106584"
"Shenandoah NP","Northeast","VA","2012","1210200"
"Theodore Roosevelt NP","Midwest","ND","2012","640555"
"Virgin Islands NP","Southeast","VI","2012","483341"
"Voyageurs NP","Midwest","MN","2012","214841"
"White Sands NP","Intermountain","NM","2012","447385"
"Wind Cave NP","Midwest","SD","2012","529083"
"Wrangell-St. Elias NP & PRES","Alaska","AK","2012","87158"
"Yellowstone NP","Intermountain","WY","2012","3447729"
"Yosemite NP","Pacific West","CA","2012","3853404"
"Zion NP","Intermountain","UT","2012","2973607"
"Acadia NP","Northeast","ME","2011","2374645"
"Arches NP","Intermountain","UT","2011","1040758"
"Badlands NP","Midwest","SD","2011","870741"
"Big Bend NP","Intermountain","TX","2011","361862"
"Biscayne NP","Southeast","FL","2011","476077"
"Black Canyon of the Gunnison NP","Intermountain","CO","2011","168336"
"Bryce Canyon NP","Intermountain","UT","2011","1296000"
"Canyonlands NP","Intermountain","UT","2011","473773"
"Capitol Reef NP","Intermountain","UT","2011","668834"
"Carlsbad Caverns NP","Intermountain","NM","2011","365000"
"Channel Islands NP","Pacific West","CA","2011","242756"
"Congaree NP","Southeast","SC","2011","120166"
"Crater Lake NP","Pacific West","OR","2011","423551"
"Cuyahoga Valley NP","Midwest","OH","2011","2161185"
"Death Valley NP","Pacific West","CA","2011","946867"
"Denali NP & PRES","Alaska","AK","2011","406582"
"Dry Tortugas NP","Southeast","FL","2011","75171"
"Everglades NP","Southeast","FL","2011","934351"
"Gates of the Arctic NP & PRES","Alaska","AK","2011","11623"
"Gateway Arch NP","Midwest","MO","2011","2259020"
"Glacier Bay NP & PRES","Alaska","AK","2011","431986"
"Glacier NP","Intermountain","MT","2011","1853564"
"Grand Canyon NP","Intermountain","AZ","2011","4298178"
"Grand Teton NP","Intermountain","WY","2011","2587437"
"Great Basin NP","Pacific West","NV","2011","91451"
"Great Sand Dunes NP & PRES","Intermountain","CO","2011","280058"
"Great Smoky Mountains NP","Southeast","TN","2011","9008830"
"Guadalupe Mountains NP","Intermountain","TX","2011","152546"
"Haleakala NP","Pacific West","HI","2011","956989"
"Hawaii Volcanoes NP","Pacific West","HI","2011","1352123"
"Hot Springs NP","Midwest","AR","2011","1396354"
"Indiana Dunes NP","Midwest","IN","2011","1840513"
"Isle Royale NP","Midwest","MI","2011","15892"
"Joshua Tree NP","Pacific West","CA","2011","1396237"
"Katmai NP & PRES","Alaska","AK","2011","48939"
"Kenai Fjords NP","Alaska","AK","2011","346852"
"Kings Canyon NP","Pacific West","CA","2011","566810"
"Kobuk Valley NP","Alaska","AK","2011","11485"
"Lake Clark NP & PRES","Alaska","AK","2011","5158"
"Lassen Volcanic NP","Pacific West","CA","2011","351269"
"Mammoth Cave NP","Southeast","KY","2011","483319"
"Mesa Verde NP","Intermountain","CO","2011","572329"
"Mount Rainier NP","Pacific West","WA","2011","1038229"
"National Park of American Samoa","Pacific West","AS","2011","8716"
"New River Gorge NP & PRES","Northeast","WV","2011","1071088"
"North Cascades NP","Pacific West","WA","2011","19208"
"Olympic NP","Pacific West","WA","2011","2966502"
"Petrified Forest NP","Intermountain","AZ","2011","614054"
"Pinnacles NP","Pacific West","CA","2011","393219"
"Redwood NP","Pacific West","CA","2011","380167"
"Rocky Mountain NP","Intermountain","CO","2011","3176941"
"Saguaro NP","Intermountain","AZ","2011","610045"
"Sequoia NP","Pacific West","CA","2011","1006583"
"Shenandoah NP","Northeast","VA","2011","1209883"
"Theodore Roosevelt NP","Midwest","ND","2011","563407"
"Virgin Islands NP","Southeast","VI","2011","442414"
"Voyageurs NP","Midwest","MN","2011","177184"
"White Sands NP","Intermountain","NM","2011","428924"
"Wind Cave NP","Midwest","SD","2011","538394"
"Wrangell-St. Elias NP & PRES","Alaska","AK","2011","65225"
"Yellowstone NP","Intermountain","WY","2011","3394326"
"Yosemite NP","Pacific West","CA","2011","3951393"
"Zion NP","Intermountain","UT","2011","2825505"
"Acadia NP","Northeast","ME","2010","2504208"
"Arches NP","Intermountain","UT","2010","1014405"
"Badlands NP","Midwest","SD","2010","977778"
"Big Bend NP","Intermountain","TX","2010","372330"
"Biscayne NP","Southeast","FL","2010","467612"
"Black Canyon of the Gunnison NP","Intermountain","CO","2010","176344"
"Bryce Canyon NP","Intermountain","UT","2010","1285492"
"Canyonlands NP","Intermountain","UT","2010","435908"
"Capitol Reef NP","Intermountain","UT","2010","662661"
"Carlsbad Caverns NP","Intermountain","NM","2010","428524"
"Channel Islands NP","Pacific West","CA","2010","277515"
"Congaree NP","Southeast","SC","2010","121208"
"Crater Lake NP","Pacific West","OR","2010","448319"
"Cuyahoga Valley NP","Midwest","OH","2010","2492670"
"Death Valley NP","Pacific West","CA","2010","984775"
"Denali NP & PRES","Alaska","AK","2010","378855"
"Dry Tortugas NP","Southeast","FL","2010","53890"
"Everglades NP","Southeast","FL","2010","915538"
"Gates of the Arctic NP & PRES","Alaska","AK","2010","10840"
"Gateway Arch NP","Midwest","MO","2010","2436110"
"Glacier Bay NP & PRES","Alaska","AK","2010","444530"
"Glacier NP","Intermountain","MT","2010","2200048"
"Grand Canyon NP","Intermountain","AZ","2010","4388386"
"Grand Teton NP","Intermountain","WY","2010","2669374"
"Great Basin NP","Pacific West","NV","2010","88870"
"Great Sand Dunes NP & PRES","Intermountain","CO","2010","283284"
"Great Smoky Mountains NP","Southeast","TN","2010","9463538"
"Guadalupe Mountains NP","Intermountain","TX","2010","192210"
"Haleakala NP","Pacific West","HI","2010","1105606"
"Hawaii Volcanoes NP","Pacific West","HI","2010","1304667"
"Hot Springs NP","Midwest","AR","2010","1311807"
"Indiana Dunes NP","Midwest","IN","2010","2150345"
"Isle Royale NP","Midwest","MI","2010","15793"
"Joshua Tree NP","Pacific West","CA","2010","1434976"
"Katmai NP & PRES","Alaska","AK","2010","55172"
"Kenai Fjords NP","Alaska","AK","2010","297596"
"Kings Canyon NP","Pacific West","CA","2010","598205"
"Kobuk Valley NP","Alaska","AK","2010","3164"
"Lake Clark NP & PRES","Alaska","AK","2010","9931"
"Lassen Volcanic NP","Pacific West","CA","2010","384570"
"Mammoth Cave NP","Southeast","KY","2010","497225"
"Mesa Verde NP","Intermountain","CO","2010","559712"
"Mount Rainier NP","Pacific West","WA","2010","1191754"
"National Park of American Samoa","Pacific West","AS","2010","3006"
"New River Gorge NP & PRES","Northeast","WV","2010","1151213"
"North Cascades NP","Pacific West","WA","2010","24659"
"Olympic NP","Pacific West","WA","2010","2844563"
"Petrified Forest NP","Intermountain","AZ","2010","664725"
"Pinnacles NP","Pacific West","CA","2010","246575"
"Redwood NP","Pacific West","CA","2010","418820"
"Rocky Mountain NP","Intermountain","CO","2010","2955821"
"Saguaro NP","Intermountain","AZ","2010","717614"
"Sequoia NP","Pacific West","CA","2010","1002979"
"Shenandoah NP","Northeast","VA","2010","1253386"
"Theodore Roosevelt NP","Midwest","ND","2010","623748"
"Virgin Islands NP","Southeast","VI","2010","493477"
"Voyageurs NP","Midwest","MN","2010","253891"
"White Sands NP","Intermountain","NM","2010","470921"
"Wind Cave NP","Midwest","SD","2010","577141"
"Wrangell-St. Elias NP & PRES","Alaska","AK","2010","73170"
"Yellowstone NP","Intermountain","WY","2010","3640185"
"Yosemite NP","Pacific West","CA","2010","3901408"
"Zion NP","Intermountain","UT","2010","2665972"
"Acadia NP","Northeast","ME","2009","2227698"
"Arches NP","Intermountain","UT","2009","996312"
"Badlands NP","Midwest","SD","2009","933918"
"Big Bend NP","Intermountain","TX","2009","363905"
"Biscayne NP","Southeast","FL","2009","437745"
"Black Canyon of the Gunnison NP","Intermountain","CO","2009","171451"
"Bryce Canyon NP","Intermountain","UT","2009","1216377"
"Canyonlands NP","Intermountain","UT","2009","436241"
"Capitol Reef NP","Intermountain","UT","2009","617208"
"Carlsbad Caverns NP","Intermountain","NM","2009","432639"
"Channel Islands NP","Pacific West","CA","2009","348745"
"Congaree NP","Southeast","SC","2009","122970"
"Crater Lake NP","Pacific West","OR","2009","446516"
"Cuyahoga Valley NP","Midwest","OH","2009","2589288"
"Death Valley NP","Pacific West","CA","2009","828574"
"Denali NP & PRES","Alaska","AK","2009","358041"
"Dry Tortugas NP","Southeast","FL","2009","52011"
"Everglades NP","Southeast","FL","2009","900882"
"Gates of the Arctic NP & PRES","Alaska","AK","2009","9975"
"Gateway Arch NP","Midwest","MO","2009","2360109"
"Glacier Bay NP & PRES","Alaska","AK","2009","438361"
"Glacier NP","Intermountain","MT","2009","2031348"
"Grand Canyon NP","Intermountain","AZ","2009","4348068"
"Grand Teton NP","Intermountain","WY","2009","2580081"
"Great Basin NP","Pacific West","NV","2009","84974"
"Great Sand Dunes NP & PRES","Intermountain","CO","2009","289955"
"Great Smoky Mountains NP","Southeast","TN","2009","9491437"
"Guadalupe Mountains NP","Intermountain","TX","2009","198882"
"Haleakala NP","Pacific West","HI","2009","1109104"
"Hawaii Volcanoes NP","Pacific West","HI","2009","1233105"
"Hot Springs NP","Midwest","AR","2009","1284707"
"Indiana Dunes NP","Midwest","IN","2009","1944568"
"Isle Royale NP","Midwest","MI","2009","14653"
"Joshua Tree NP","Pacific West","CA","2009","1304471"
"Katmai NP & PRES","Alaska","AK","2009","43035"
"Kenai Fjords NP","Alaska","AK","2009","218358"
"Kings Canyon NP","Pacific West","CA","2009","609296"
"Kobuk Valley NP","Alaska","AK","2009","1879"
"Lake Clark NP & PRES","Alaska","AK","2009","9711"
"Lassen Volcanic NP","Pacific West","CA","2009","365639"
"Mammoth Cave NP","Southeast","KY","2009","503856"
"Mesa Verde NP","Intermountain","CO","2009","550377"
"Mount Rainier NP","Pacific West","WA","2009","1151654"
"National Park of American Samoa","Pacific West","AS","2009","3242"
"New River Gorge NP & PRES","Northeast","WV","2009","1144318"
"North Cascades NP","Pacific West","WA","2009","26972"
"Olympic NP","Pacific West","WA","2009","3276459"
"Petrified Forest NP","Intermountain","AZ","2009","631613"
"Pinnacles NP","Pacific West","CA","2009","171112"
"Redwood NP","Pacific West","CA","2009","444426"
"Rocky Mountain NP","Intermountain","CO","2009","2822325"
"Saguaro NP","Intermountain","AZ","2009","665234"
"Sequoia NP","Pacific West","CA","2009","965170"
"Shenandoah NP","Northeast","VA","2009","1120981"
"Theodore Roosevelt NP","Midwest","ND","2009","586928"
"Virgin Islands NP","Southeast","VI","2009","415847"
"Voyageurs NP","Midwest","MN","2009","222429"
"White Sands NP","Intermountain","NM","2009","471167"
"Wind Cave NP","Midwest","SD","2009","587868"
"Wrangell-St. Elias NP & PRES","Alaska","AK","2009","59966"
"Yellowstone NP","Intermountain","WY","2009","3295187"
"Yosemite NP","Pacific West","CA","2009","3737472"
"Zion NP","Intermountain","UT","2009","2735402"
"Acadia NP","Northeast","ME","2008","2075857"
"Arches NP","Intermountain","UT","2008","928795"
"Badlands NP","Midwest","SD","2008","845734"
"Big Bend NP","Intermountain","TX","2008","362512"
"Biscayne NP","Southeast","FL","2008","686062"
"Black Canyon of the Gunnison NP","Intermountain","CO","2008","160185"
"Bryce Canyon NP","Intermountain","UT","2008","1043321"
"Canyonlands NP","Intermountain","UT","2008","436715"
"Capitol Reef NP","Intermountain","UT","2008","604811"
"Carlsbad Caverns NP","Intermountain","NM","2008","400381"
"Channel Islands NP","Pacific West","CA","2008","332177"
"Congaree NP","Southeast","SC","2008","104913"
"Crater Lake NP","Pacific West","OR","2008","415686"
"Cuyahoga Valley NP","Midwest","OH","2008","2828233"
"Death Valley NP","Pacific West","CA","2008","871938"
"Denali NP & PRES","Alaska","AK","2008","432309"
"Dry Tortugas NP","Southeast","FL","2008","63947"
"Everglades NP","Southeast","FL","2008","822118"
"Gates of the Arctic NP & PRES","Alaska","AK","2008","11397"
"Gateway Arch NP","Midwest","MO","2008","1954810"
"Glacier Bay NP & PRES","Alaska","AK","2008","418911"
"Glacier NP","Intermountain","MT","2008","1808027"
"Grand Canyon NP","Intermountain","AZ","2008","4425314"
